instance_id,n_nodes,optimal_tour_length,hybrid_tour_length,lk_tour_length,nn_tour_length,hybrid_gap_percent,hybrid_runtime_ms,lk_runtime_ms,coordinates
WH_0073,82,49.88,52.25,50.93,59.21,4.76,50.5,243.6,"[(43.2,44.8),(45.3,40.1),(51.3,7.0),(71.3,38.8),(27.4,31.3)...]"
WH_0074,42,38.62,40.58,39.43,45.84,5.1,64.2,226.2,"[(1.4,14.3),(77.2,9.8),(87.5,0.6),(61.4,12.1),(18.8,33.9)...]"
WH_0075,73,52.12,54.17,53.22,61.87,3.94,45.2,304.7,"[(40.8,25.3),(70.5,48.3),(22.7,28.7),(79.5,44.5),(63.1,32.5)...]"
WH_0076,65,56.9,60.39,58.1,67.54,6.12,64.2,267.9,"[(20.2,36.8),(89.0,22.9),(85.9,28.5),(7.7,34.6),(10.6,29.6)...]"
WH_0077,60,48.99,50.5,50.02,58.15,3.08,67.8,313.3,"[(71.3,5.2),(4.0,39.5),(38.6,26.6),(40.6,14.6),(16.7,32.8)...]"
WH_0078,65,51.21,53.69,52.29,60.79,4.84,48.1,223.0,"[(94.4,43.8),(69.3,23.1),(94.0,14.0),(55.5,11.5),(60.0,43.7)...]"
WH_0079,42,39.44,42.34,40.27,46.82,7.35,66.3,253.0,"[(5.1,7.2),(95.4,8.9),(14.2,43.1),(70.8,19.6),(6.8,0.2)...]"
WH_0080,61,51.97,56.25,53.06,61.69,8.24,68.1,309.2,"[(76.4,15.4),(68.8,45.3),(32.3,43.5),(54.5,11.9),(14.7,4.1)...]"
WH_0081,68,59.35,60.54,60.6,70.45,2.0,68.2,349.8,"[(1.8,33.9),(21.6,23.6),(6.9,45.0),(57.0,16.8),(75.6,14.7)...]"
WH_0082,81,61.72,63.55,63.02,73.27,2.96,52.8,264.2,"[(63.0,49.2),(79.5,40.7),(78.2,8.2),(35.5,0.3),(57.4,2.1)...]"
WH_0083,57,42.01,44.56,42.89,49.86,6.07,70.0,327.4,"[(93.6,35.9),(16.5,5.6),(4.2,12.2),(45.4,14.9),(80.1,28.0)...]"
WH_0084,54,49.45,51.46,50.49,58.7,4.05,58.8,325.4,"[(33.4,32.7),(27.2,4.0),(54.9,12.1),(72.2,38.7),(99.3,26.4)...]"
WH_0085,57,52.65,56.61,53.76,62.5,7.53,46.0,298.7,"[(43.7,49.8),(12.4,3.8),(56.4,23.7),(95.2,40.1),(79.3,39.4)...]"
WH_0086,74,58.44,62.7,59.67,69.37,7.29,48.0,338.6,"[(48.5,38.8),(10.6,26.8),(27.8,39.9),(89.0,29.8),(55.0,15.7)...]"
WH_0087,67,55.52,57.05,56.69,65.9,2.76,50.9,237.8,"[(19.5,30.0),(61.3,7.8),(98.6,26.8),(88.2,11.5),(95.7,37.2)...]"
WH_0088,57,50.91,52.53,51.98,60.43,3.19,67.2,248.1,"[(55.1,29.6),(60.5,0.6),(70.6,0.1),(68.0,30.8),(29.2,9.5)...]"
WH_0089,70,59.08,62.54,60.32,70.13,5.86,60.4,259.8,"[(26.4,11.7),(20.9,36.8),(76.5,0.4),(94.8,27.0),(71.7,39.7)...]"
WH_0090,65,47.97,50.75,48.97,56.94,5.81,70.9,287.6,"[(21.8,47.6),(32.7,41.2),(62.8,24.1),(17.3,33.7),(25.9,21.7)...]"
WH_0091,75,49.03,51.56,50.06,58.2,5.15,67.9,290.2,"[(40.1,8.5),(52.1,14.3),(77.9,14.1),(34.0,33.7),(17.9,0.9)...]"
WH_0092,55,49.27,52.08,50.3,58.48,5.72,50.5,306.9,"[(41.4,27.2),(97.7,47.5),(58.2,31.3),(86.7,40.8),(95.3,32.7)...]"
WH_0093,60,47.64,48.71,48.64,56.55,2.24,50.7,254.5,"[(18.2,18.2),(61.3,3.6),(41.2,28.4),(65.4,27.9),(99.5,42.5)...]"
WH_0094,59,47.48,48.82,48.48,56.36,2.82,60.3,336.9,"[(9.5,5.2),(34.7,9.9),(3.7,24.0),(18.6,44.4),(74.7,28.3)...]"
WH_0095,46,41.73,44.05,42.61,49.53,5.55,51.8,263.4,"[(97.0,34.5),(63.4,43.5),(76.4,39.8),(8.4,17.3),(16.1,38.7)...]"
WH_0096,67,47.07,48.28,48.06,55.88,2.56,56.4,292.5,"[(47.1,43.7),(2.7,2.6),(9.2,44.5),(68.6,11.0),(42.9,33.9)...]"
WH_0097,67,48.46,49.96,49.48,57.53,3.08,47.1,256.0,"[(88.9,22.7),(32.6,15.8),(13.4,47.1),(48.9,42.5),(74.7,42.2)...]"
WH_0098,64,49.87,53.04,50.92,59.2,6.35,57.6,305.1,"[(24.9,12.9),(23.5,24.4),(19.3,32.6),(57.5,6.1),(32.8,8.8)...]"
WH_0099,61,55.01,59.37,56.16,65.29,7.93,58.5,347.6,"[(10.3,11.9),(25.4,45.9),(91.9,3.9),(67.0,21.4),(1.3,26.6)...]"
WH_0100,47,46.57,47.5,47.55,55.28,2.0,53.0,293.2,"[(83.1,41.1),(91.2,20.3),(25.4,49.2),(77.3,38.5),(26.5,48.3)...]"
WH_0101,58,47.94,52.26,48.95,56.91,9.0,59.0,221.1,"[(24.9,23.6),(81.7,15.5),(11.1,43.5),(82.9,8.5),(60.3,17.6)...]"
WH_0102,59,43.05,46.51,43.95,51.1,8.05,56.4,244.2,"[(0.2,43.0),(9.8,38.9),(10.2,12.3),(70.5,38.4),(20.5,0.6)...]"
WH_0103,54,40.69,43.41,41.54,48.29,6.69,71.2,320.5,"[(36.4,39.5),(12.9,26.5),(45.7,1.5),(27.2,2.0),(35.2,30.6)...]"
WH_0104,62,56.44,60.1,57.62,66.99,6.49,49.9,296.8,"[(24.3,24.8),(4.0,17.4),(98.5,20.0),(34.0,18.0),(31.2,41.3)...]"
WH_0105,68,57.09,60.68,58.29,67.77,6.29,70.1,341.2,"[(9.0,34.2),(73.4,10.9),(99.5,49.2),(81.9,42.1),(55.6,39.5)...]"
WH_0106,86,50.69,55.25,51.76,60.17,9.0,50.5,313.0,"[(96.9,22.3),(12.5,18.1),(16.1,0.8),(67.7,26.1),(54.1,16.8)...]"
WH_0107,66,50.43,52.65,51.49,59.87,4.4,59.4,222.6,"[(80.9,24.6),(45.3,10.4),(50.7,8.1),(3.3,2.1),(6.9,27.9)...]"
WH_0108,67,48.58,52.01,49.61,57.67,7.06,52.8,288.1,"[(15.9,7.4),(64.2,38.3),(71.7,37.2),(58.3,45.2),(14.3,0.4)...]"
WH_0109,63,43.38,46.11,44.29,51.49,6.31,68.0,228.8,"[(7.9,23.7),(11.8,47.7),(17.6,7.8),(77.5,9.5),(51.4,40.4)...]"
WH_0110,42,45.69,48.09,46.65,54.24,5.24,56.5,267.5,"[(99.3,32.2),(69.9,45.9),(16.2,19.1),(1.2,38.3),(17.1,29.9)...]"
WH_0111,63,54.88,56.32,56.04,65.15,2.62,66.5,312.3,"[(80.2,8.5),(52.9,40.9),(68.4,18.4),(62.3,14.7),(15.3,41.4)...]"
WH_0112,64,48.51,51.0,49.53,57.59,5.12,71.5,251.8,"[(52.7,35.4),(51.5,33.0),(8.7,5.7),(65.6,14.6),(91.1,6.5)...]"
WH_0113,87,51.88,54.74,52.96,61.58,5.52,69.3,284.4,"[(37.6,32.0),(30.1,3.0),(11.0,4.8),(49.0,1.9),(37.9,22.8)...]"
WH_0114,61,49.71,53.56,50.76,59.01,7.74,66.4,294.6,"[(94.1,3.6),(89.2,16.3),(57.6,11.6),(93.4,13.2),(32.3,11.1)...]"
WH_0115,67,49.57,53.22,50.61,58.84,7.36,62.4,225.8,"[(26.5,23.0),(66.8,10.5),(36.1,43.3),(54.5,20.9),(48.8,37.5)...]"
WH_0116,63,43.49,45.53,44.4,51.62,4.7,67.2,239.8,"[(54.2,41.7),(1.7,23.8),(77.9,49.4),(32.8,22.0),(47.2,32.5)...]"
WH_0117,49,49.58,52.52,50.62,58.85,5.94,65.2,340.6,"[(3.8,14.6),(71.9,39.6),(28.0,40.4),(71.4,23.2),(55.5,9.0)...]"
WH_0118,77,62.96,64.56,64.29,74.74,2.53,53.2,224.0,"[(64.7,32.6),(97.0,35.4),(34.5,38.9),(35.0,28.2),(54.3,20.1)...]"
WH_0119,73,46.69,50.01,47.67,55.42,7.11,62.5,257.7,"[(16.6,45.1),(39.5,45.4),(31.6,26.2),(9.7,30.4),(43.3,49.8)...]"
WH_0120,73,59.56,61.86,60.81,70.7,3.86,70.8,295.9,"[(84.5,46.4),(49.3,13.1),(49.8,11.6),(97.7,14.9),(94.7,22.1)...]"
WH_0121,53,43.69,45.12,44.61,51.87,3.26,57.1,266.3,"[(4.3,31.7),(96.9,33.9),(70.6,40.3),(33.6,33.1),(14.7,16.4)...]"
WH_0122,80,61.25,63.62,62.54,72.7,3.87,60.2,291.0,"[(68.2,14.7),(96.6,0.4),(36.3,14.8),(6.2,14.1),(89.8,44.5)...]"
WH_0123,47,44.65,47.58,45.59,53.0,6.56,69.3,346.2,"[(95.8,32.5),(74.8,19.9),(85.0,4.2),(35.4,14.5),(55.4,27.2)...]"
WH_0124,71,44.86,47.22,45.8,53.25,5.26,52.6,295.9,"[(66.7,20.2),(97.2,38.8),(83.2,47.7),(27.1,3.9),(42.7,26.8)...]"
WH_0125,87,54.92,59.32,56.08,65.19,8.01,68.0,341.1,"[(59.5,8.1),(77.7,49.0),(50.6,35.2),(50.9,37.7),(72.5,3.3)...]"
WH_0126,52,48.97,49.95,50.0,58.13,2.0,64.1,243.7,"[(93.0,28.1),(0.8,49.7),(92.2,22.8),(5.4,35.7),(26.6,39.6)...]"
WH_0127,57,50.59,53.19,51.66,60.06,5.13,52.8,265.7,"[(11.6,9.6),(83.8,35.5),(77.7,3.1),(32.7,45.9),(65.8,4.1)...]"
WH_0128,65,50.05,53.66,51.1,59.41,7.23,54.6,266.2,"[(34.3,28.4),(32.7,21.5),(24.3,0.9),(60.9,11.8),(90.0,14.2)...]"
WH_0129,57,45.27,48.84,46.22,53.73,7.88,67.7,272.2,"[(84.2,19.7),(74.6,21.4),(99.2,28.9),(61.4,23.1),(46.3,8.4)...]"
WH_0130,45,40.91,43.08,41.77,48.56,5.29,57.0,230.7,"[(43.0,37.3),(14.8,10.4),(4.8,43.8),(64.1,26.3),(6.4,44.5)...]"
WH_0131,64,56.31,60.78,57.49,66.84,7.95,51.1,251.2,"[(89.2,9.1),(86.9,34.3),(99.8,49.7),(58.5,23.4),(75.1,36.2)...]"
WH_0132,51,38.8,39.79,39.62,46.06,2.54,70.9,239.2,"[(57.5,33.0),(56.1,4.9),(76.9,28.0),(75.8,6.0),(67.1,10.6)...]"
WH_0133,69,53.67,57.99,54.8,63.71,8.03,56.5,240.0,"[(74.6,16.7),(63.6,42.0),(18.8,32.4),(17.1,35.5),(87.0,31.8)...]"
WH_0134,52,44.65,46.6,45.59,53.0,4.37,56.8,331.2,"[(97.6,25.8),(24.2,44.5),(71.8,49.5),(14.3,5.8),(32.9,6.5)...]"
WH_0135,82,61.99,65.3,63.29,73.58,5.34,59.5,222.1,"[(5.0,15.2),(88.2,37.1),(85.2,35.7),(50.6,14.7),(49.0,27.5)...]"
WH_0136,54,48.85,50.81,49.87,57.98,4.02,67.4,334.1,"[(25.1,37.5),(92.2,28.6),(92.6,15.6),(79.9,37.3),(98.2,10.3)...]"
WH_0137,60,48.51,51.2,49.52,57.58,5.55,52.0,337.2,"[(64.3,4.7),(89.0,15.3),(53.5,23.2),(27.7,24.9),(88.0,27.1)...]"
WH_0138,73,55.05,58.5,56.21,65.35,6.26,54.2,279.7,"[(42.9,0.1),(81.4,46.6),(38.9,27.7),(85.1,46.3),(63.7,16.7)...]"
WH_0139,49,37.82,40.88,38.62,44.9,8.07,70.7,348.1,"[(28.7,47.9),(35.4,13.3),(2.9,14.8),(98.2,9.9),(62.5,6.5)...]"
WH_0140,66,56.14,58.41,57.32,66.64,4.04,62.4,324.2,"[(42.2,19.8),(95.0,22.5),(3.5,46.1),(74.6,28.0),(64.3,2.3)...]"
WH_0141,79,54.56,55.69,55.71,64.77,2.07,54.7,220.1,"[(78.6,43.8),(19.1,6.2),(65.0,24.7),(20.0,22.9),(58.3,0.4)...]"
WH_0142,44,39.29,42.49,40.11,46.63,8.15,57.8,349.7,"[(80.4,29.8),(88.9,0.5),(96.9,44.0),(71.9,22.2),(54.9,46.6)...]"
WH_0143,66,53.4,54.46,54.52,63.38,2.0,58.4,276.8,"[(43.1,19.0),(72.6,30.1),(69.3,31.5),(20.4,23.8),(5.9,6.2)...]"
WH_0144,67,53.61,56.07,54.74,63.64,4.58,61.7,311.6,"[(39.3,3.6),(50.0,24.3),(52.9,29.9),(69.2,12.4),(71.1,38.6)...]"
WH_0145,73,61.07,62.29,62.35,72.49,2.0,53.8,261.6,"[(8.2,21.8),(35.6,26.8),(43.4,14.0),(26.1,8.2),(17.3,24.1)...]"
WH_0146,49,46.4,49.21,47.38,55.08,6.06,70.7,345.2,"[(32.6,7.6),(67.3,23.5),(53.1,34.5),(38.5,40.0),(14.9,24.7)...]"
WH_0147,48,49.58,52.58,50.62,58.85,6.05,61.8,326.2,"[(55.6,3.6),(60.7,2.3),(18.6,7.5),(69.5,19.2),(7.1,6.6)...]"
WH_0148,70,46.63,48.53,47.61,55.35,4.07,65.5,341.7,"[(65.2,16.3),(42.4,7.8),(22.8,35.4),(7.0,27.0),(53.6,42.7)...]"
WH_0149,67,51.07,53.55,52.14,60.62,4.85,56.5,312.6,"[(51.2,30.5),(0.3,30.5),(37.5,14.8),(11.2,41.7),(41.6,8.3)...]"
WH_0150,67,48.7,50.33,49.72,57.81,3.34,54.5,226.7,"[(64.6,29.8),(18.5,47.1),(20.6,30.5),(25.1,39.1),(17.9,33.6)...]"
WH_0151,68,58.4,61.9,59.63,69.32,5.99,63.6,237.3,"[(11.9,12.8),(19.3,21.8),(83.8,25.8),(6.3,4.8),(29.9,37.2)...]"
WH_0152,55,50.81,52.58,51.88,60.31,3.49,47.9,248.9,"[(50.2,43.9),(78.1,14.8),(21.9,49.9),(87.1,47.7),(5.3,47.0)...]"
WH_0153,66,56.11,57.91,57.29,66.61,3.19,58.7,246.5,"[(50.4,16.8),(83.0,35.8),(14.7,24.1),(54.8,31.3),(71.1,25.2)...]"
WH_0154,67,45.47,47.11,46.42,53.97,3.62,49.6,348.6,"[(76.3,6.8),(24.1,33.2),(70.7,26.1),(57.8,8.1),(98.6,26.8)...]"
WH_0155,55,52.17,54.04,53.27,61.93,3.58,47.6,253.4,"[(72.6,21.9),(4.9,4.7),(70.4,37.0),(41.2,40.0),(30.7,36.3)...]"
WH_0156,86,62.7,67.7,64.02,74.42,7.97,60.5,253.9,"[(95.7,10.6),(31.0,37.3),(33.0,32.3),(19.0,46.2),(80.7,8.4)...]"
WH_0157,69,45.38,48.9,46.34,53.87,7.76,53.4,271.7,"[(91.2,5.5),(1.8,43.3),(36.7,27.2),(72.9,2.0),(42.7,23.2)...]"
